sample_id,desc_id,raw_sample_id,raw_hole_id,raw_depth,source_file,analyst_or_lab,report_date,language,rock_name,rock_name_original,texture,minerals_json,alteration,opaque_minerals,description_text,join_method,qa_notes
40906,D0016,40906,OVD-002,126.4m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Black schist,,Schistous,,"chl,illite,smec",,Microscope rock name: Schist,tag,
40907,D0017,40907,OVD-001,62.4m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Strong altered diabase,,,"{""rock_forming"": ""Pl, Mafic minerals""}",Strong sericite-calcite,,Microscope rock name: Diabase,tag,
40908,D0018,40908,OVD-001,8.6m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Gossan (Copper-iron-oxide. The original lithofacies is not identified.),,,,,,Microscope rock name: Gossan,tag,
40909,D0019,40909,OVD-002,51.6m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Amphibole micro-gabbro,,equigranular crystalline,"{""rock_forming"": ""Pl, Amph""}",Chl,,Microscope rock name: Amph Gabbro,tag,
40910,D0020,40910,OVD-002,37m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Amphibole gabbro,,"Hollocrystalline, Ophitic","{""rock_forming"": ""Pl, Amph""}",,,Microscope rock name: Amph Gabbro,tag,
40911,D0021,40911,OVD-002,75.5m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Strong altered diabase,,,,,,Microscope rock name: Diabase,tag,
40912,D0022,40912,OVD-002,137.6m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Black Schist (weak schistosity),,,,,,Microscope rock name: Schist,tag,
40913,D0023,40913,OVD-001,68m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,"Ore mineralized, altered fine-medium grained biotite subalkaline diorite",,Hypidiomorph,"{""rock_forming"": ""?""}",?,Py-Cpy-Pn-Cubanite-Mag,The sample could be changed. Need to be checked | Microscope rock name: Alkalic Bt Diorite,tag,
40914,D0024,40914,OVD-001,9.4m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Oyunjargal,,en,Gossan (Iron-copper oxide. Altered Gabbro?),,,,,,Microscope rock name: Gossan,tag,
40915,D0025,40915,OVD-009,72m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Altered Amphibole-Orthopyroxene micro-gabbro,,,,,,Microscope rock name: Amph-Opx Gabbro,tag,
40763,D0026,40763,OVD-008,84.5m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Intensively altered fine-meduim grained olivine-amphibole gabbro (melanocratic gabbro),,"Hypidiomorph, poikiloophitic","{""rock_forming"": ""Pl-20-30%, Amph-40-45%, Ol-10-15%, Bt-5%""}",Serp-Talc-Soss-Act-Chl-Ser-Carb,Po-Cpy-Pn-Mag,Microscope rock name: Ol-Gabbro or Hb-Perdidotite,tag,
41011,D0027,41011,OVD-007,50m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,"Mineralized, fine- medium grained hornblende pyroxene melanocratic gabbro (Peridotite?)",,"Panidiomorphic, poikiloophitic, poikilitic","{""rock_forming"": ""Alt Opx+Cpx-55-60%, Hb-15-20%, Alt Pl<10%, Alt Ol-5-10%, Bt-3-5%""}",Serp-Talc-Act-Chl-Ser-Carb,Mag-illm-Chromite-Pn-Po-Cpy,Opx and Ol are altered to serpentine and talc by the rim. Hb strongly replaced by actinolite and sometimes includes Cpx relic aggregates. | Microscope rock name: Hb-Px Gabbro or Peridotite,tag,
41012,D0028,41012,OVD-003,155.3m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry),,"Nevadite porphyritic, sub-ophitic, poikiloophitic","{""rock_forming"": ""Alt Pl-45-50%, Hb-35-40%, Cpx-5-10%, Bt-1-3%""}",Serp-Talc-Act-Chl-Ser-Carb,Mag-illm-Py-Cpy,"similar description as OVD008-88.9, plus serpitinization observed in the sample | Microscope rock name: Px-Hb Gabbro",tag,
41013,D0029,41013,OVD-008,40.1m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Intensive metasomatic altered gabbrodiorite porphyry,,"Relict porphyriric, microgranoblast, massive","{""rock_forming"": ""Alt Pl-30-35%, Hb-30-35%""}",Ser-Pelite-Act-Epi-Chl-Qtz,illm-Py-Cpy,"Same as above sample. Plus, ore minerals usually associated with Hb phases. | Microscope rock name: Porphyritic Gabbrodiorite",tag,
41014,D0030,41014,OVD-009,195.2m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,"Mineralized, altered porphyritic fine -medium grained hornblende pyroxene melanocratic gabbronorite (Peridotite?)",,"Porphyritic, sub-ophitic, poikiloophitic","{""rock_forming"": ""Alt Px-50-55%, Alt Ol-15-20%, Hb-10-15%, Bt-8-10%""}",Serp-Talc-Act-Chl-Mus-Ser-Carb,Mag-illm-Chromite-Po-Cpy,The rock composition and alteration is similar to Hb-Peridotite which is described in OVD021 | Microscope rock name: Hb-Px Gabbronorite,tag,
41015,D0031,41015,OVD-009,149.5m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Altered gabbrodiorite porphyry,,"Porphyritic, sub-ophitic, poikiloophitic","{""rock_forming"": ""Alt Pl-75-80%, Hb-15-20%""}",Act-Chl-Epi-Ser-Carb,illm-Tnt-Py-Cpy,Microscope rock name: Pophyritic Gabbrodiorite,tag,
41016,D0032,41016,OVD-009,171.5m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Mineralized and altered fine- medium grained hornblende pyroxene melanocratic gabbronorite (Peridotite?),,"Panidiomorphic, poikiloophitic, poikilitic","{""rock_forming"": ""Alt Px-40-45%, Alt Ol-15-20%, Hb-10-15%, Alt Pl-10%, Bt-1-3%""}",Serp-Talc-Act-Bt-Chl-Ser-Carb,Mag-illm-Chromite-Pn-Po-Cpy,The rock composition and alteration is similar to Hb-Peridotite which is described in OVD021 | Microscope rock name: Hb-Peridotite?,tag,
41017,D0033,41017,OVD-009,161m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Mineralized altered porphyritic medium-fine grained hornblende pyroxene melanocratic gabbronorite (Peridotite?),,"Porphyritic, sub-ophitic, poikiloophitic","{""rock_forming"": ""Serp pseudo aft Ol-Px-55-60%, Hb-15-20%, Alt Pl-10-15%, Bt-5%""}",Serp-Chl-Act-Bt-Ser-Carb,Mag-illm-Chromite-Pn-Po-Cpy,The rock composition and alteration is similar to Hb-Peridotite which is described in OVD021 | Microscope rock name: Hb-Px Gabbronorite or Peridotite,tag,
41018,D0034,41018,OVD-009,80.8m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry),,"Nevadite porphyritic like, sub-ophitic, poikiloophitic","{""rock_forming"": ""Alt Pl-55-60%, Hb-35-40%, Cpx-few, Bt-3-5%""}",Talc-Soss-Act-Chl-Ser-Carb,illm-Chromite-Tnt-Py-Cpy,generally similar rock as OVD009-17.2 | Microscope rock name: Porphyritic Px-Hb Gabbro,tag,
41019,D0035,41019,OVD-009,17.2m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Porphyritic fine-grained pyroxene-hornblende gabbro (Altered gabbro porphyry),,"Nevadite porphyritic, sub-ophitic, poikiloophitic","{""rock_forming"": ""Alt Pl-55-60%, Hb-35-40%, Qtz-5-8%""}",Soss-Act-Mus-Ser-Chl-Carb,illm-Mag-Chromite-Tnt-Py-Cpy-Covelline,same rock as above | Microscope rock name: Porphyritic Px-Hb Gabbro,tag,
41020,D0036,41020,OVD-009,143m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Mineralized porphyritic fine grained hornblende-olivine-pyroxene melanocratic gabbro,,"Sub-ophitic, poikiloophitic","{""rock_forming"": ""Hb-20-25%, Cpx-15-20%, Alt Ol-15-20%, Bt-5-10%""}",Serp-Talc-Act-Chl-Bt-Ser-Mus,illm-Mag-Pn-Chromite-Po-Cpy,Microscope rock name: Ol-Gabbro or Hb-Perdidotite,tag,
41021,D0037,41021,OVD-009,126.7m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,"Schistose, carbonatized and intense altered gabbrodiorite-porphyry (Metasomatite by gabbrodiorite porphyry)",,"Relict porphyritic, microgranoblast","{""rock_forming"": ""Alt Pl-30-35%, Ser+Chl Pseudo-30-35%,""}",Ser-Chl-Carb-Qtz,illm-Py-Tnt,Strong carbonatization occurred | Microscope rock name: Porphyritic Gabbrodiorite,tag,
41022,D0038,41022,OVD-009,11.3m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Altered gabbrodiorite porphyry,,"Porphyritic, sub-ophitic, poikiloophitic","{""rock_forming"": ""Alt Pl-60-65%, Alt Hb-20-25%, Alt Bt-10-15%, Qtz-5-7%""}",Serp-Chl-Act-Ser-Leuc-Carb-Qtz,illm-Chromite-Py-Goethite-Hydrogoethite,"Hb are strongly altered to chlorite actinolite, sometimes completely replaced by serpentine and chlorite. | Microscope rock name: Porphyritic Gabbrodiorite",tag,
41023,D0039,41023,OVD-009,151.6m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Porphyritic fine grained pyroxene hornblende  gabbro (Altered gabbro porphyry),,"Porphyritic, sub-ophitic, poikiloophitic","{""rock_forming"": ""Alt Pl-55-60%, Hb-25-30%, Cpx-5-10%""}",Act-Chl-Epi-Mus-Ser-Carb-Qtz,illm-Tnt-Py-Cpy,Microscope rock name: Porphyritic Px-Hb Gabbro,tag,
41024,D0040,41024,OVD-008,90.5m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Intense mineralized quartz diorite porphyry (Andesite-dacite),,"Porphyritic, hypidiomorphic","{""rock_forming"": ""Alt Pl-75-80%, Alt Bt-10-15%, Qtz-5-10%""}",Ser-Pelite-Chl-Mus-Epi-Qtz,Mag-Py-Po-Cpy,"Pl altered by sericite, carbonate, pelite. Intergranular space between Pl filled with Bt-muscovite pseudomorphs after mafic minerals | Microscope rock name: Porphyritic Qtz Diorite",tag,
41025,D0041,41025,OVD-007,58.2m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Altered melanocratic microgabbro,,"Panidiomorphic, poikiloophitic","{""rock_forming"": ""Cpx-40-45%, Alt Pl-40-45%, Hb-10-15%""}",Soss-Act-Chl-Epi-Ser,Mag-illm-Py-Po-Cpy,Microscope rock name: Gabbro,tag,
41026,D0042,41026,OVD-007,87.8m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Altered gabbro porphyry,,"Porphyritic, sub-ophitic, poikiloophitic","{""rock_forming"": ""Alt Pl-55-60%, Hb-35-40%, Bt-5-8%, Cpx-few, Qtz-1-3%""}",Talc-Act-Chl-Mus-Pelite-Serc-Carb,illm-Mag-Py-Cpy,Pl composition is intermediate to mafic calcic-plagioclase. | Microscope rock name: Porphyritic Gabbro,tag,
41027,D0043,41027,OVD-005,13.4m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Fine and medium grained olivine-hornblende- pyroxene peridotite,,"Panidiomorphic, poikiloophitic","{""rock_forming"": ""Hb-35-40%, Px-35-40%, Alt Ol-5-10%, Bt-5-7%""}",Serp-Talc-Iddingsite-Act-Chl-Carb-Geothite-Hydrogoethite,illm-Chromite-Mag,weathered and oxidized rock | Microscope rock name: Ol-Hb-Px Peridotite,tag,
41028,D0044,41028,OVD-008,27.3m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry),,"Nevaditic porphyritic, sub-ophitic groundmass, poikiloophitic","{""rock_forming"": ""Alt Pl-55-60%, Hb-35-40%, Cpx-few, Bt-few, Qtz-few""}",Ser-Mus-Soss-Chl-Act-Carb,"Geothite, Hydrogoethite",Small Cpx relicts observed as an inclusion in Hb. Large porphyry like Cpx partially including Pl creating poikiloophitic texture. | Microscope rock name: Porphyritic Px-Hb Gabbro,tag,
41029,D0045,41029,OVD-008,60.3m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Altered porphyritic fine grained pyroxene-hornblende melanocratic gabbro (Altered melanocratic gabbro porphyry),,"Nevaditic porphyritic, sub-ophitic groundmass, poikiloophitic","{""rock_forming"": ""Alt Pl-30-35%, Hb-45-50%, Cpx-15-20%""}",Ser-Soss-Chl-Act-Talc,Mag-illm-Py-Po-Cpy,"same as above sample. Plus, Cpx are not altered. Bt are completely replaced by Chl. | Microscope rock name: Porphyritic Px-Hb Gabbro",tag,
41030,D0046,41030,OVD-008,88.9m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Porphyritic fine grained pyroxene-hornblende melanocratic gabbro (Altered melanocratic gabbro porphyry),,"Nevaditic porphyritic, sub-ophitic groundmass, poikiloophitic","{""rock_forming"": ""Alt Pl-40-45%, Hb-35-40%, Px-15-20%, Bt-1-3%""}",Ser-Epi-Chl-Act-Talc-Carb,Mag-illm-Py-Cpy,"the rock is strongly mineralized and big sulphide blebs and semimassive, but the rock is Gabbro!. The sample needs to reanalysed | Microscope rock name: Porphyritic Px-Hb Gabbro",tag,
41031,D0047,41031,OVD-007,55.9m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry),,"Alt Pl-40-45%, Hb-40-45%, Cpx-10-15%, Bt-1-3%","{""rock_forming"": ""Nevaditic porphyritic, sub-ophitic, poikiloophitic""}",Talc-Soss-Act-Chl-Epi-Ser-Carb,Mag-illm-Py,it was defined same as OVD008-88.9 | Microscope rock name: Porphyritic Px-Hb Gabbro,tag,
41032,D0048,41032,OVD-008,39.5m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Altered porphyritic fine grained pyroxene-hornblende melanocratic gabbro (Altered melanocratic gabbro porphyry),,"Nevaditic porphyritic, sub-ophitic groundmass, poikiloophitic","{""rock_forming"": ""Alt Pl-30-35%, Hb-50-55%""}",Ser-Mus-Soss-Chl-Act-Carb,illm-Py-Po-Cpy,Hb crystals partially replaced by Act and talc. Some Act-Talc pseudomorphs could be formed from Opx. Sometimes those pseudomorphs includes Cpx relic agregates | Microscope rock name: Porphyritic Px-Hb Gabbro?,tag,
41033,D0049,41033,OVD-009,149.8m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Altered gabbro porphyry,,"Porphyritic, sub-ophitic, poikiloophitic","{""rock_forming"": ""Alt Pl-50-55%, Hb-20-25%, Cpx-10-15%, Qtz-5%""}",Act-Chl-Epi-Ser-Carb-Qtz,illm-Tnt-Py-Cpy,Microscope rock name: Porphyritic Gabbro,tag,
41034,D0050,41034,OVD-009,190.8m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Khanlab,,en,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry),,"Porphyritic, sub-ophitic, poikiloophitic","{""rock_forming"": ""Alt Pl-55-60%, Hb-30-35%, Cpx-5-10%""}",Ac-Chl-Epi-Ser-Carb-Qtz,illm-Chromite-Tnt-Py-Po-Cpy,Microscope rock name: Porphyritic Px-Hb Gabbro,tag,
42851,D0051,CRS01A-41.4,CRS01A,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,Mineralized Amph-Pl gneiss (from diorite),,,,,,Microscope rock name: Amph-Pl Gneiss,label,
42865,D0052,CRS01A-53.4,CRS01A,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,Mineralized qtz-actinolite-albite gneiss (after gabbrodiorite),,,,,,Microscope rock name: Qtz-Act-Ab Gneiss,label,
42874,D0053,CRS01A-61.3,CRS01A,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,"Mineralized, cordierite-actinolite metasomatite",,,,,,Microscope rock name: Cor-Act Metasomatite,label,
42899,D0054,CRS01A-81,CRS01A,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,"Mineralized, spinel-cordierite-actinolite metasomatite (micro-schist)",,,,,,Microscope rock name: Spi-Cor-Act Metasomatite,label,
42908,D0055,CRS01A-90.5,CRS01A,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,"Mineralized, silicic altered biotite-chlorite serpentinite",,,,,,Microscope rock name: Bt-Chl Serpentinite,label,
42923,D0056,CRS01A-104.4,CRS01A,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,"Mineralized, quartz vein with carbonate",,,,,,Microscope rock name: Qtz-carb vein,label,
42931,D0057,CRS01A-111.8,CRS01A,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,Plagio-rhyolite (Plagio-granite porphyry),,,,,,Microscope rock name: Plagio-rhyolite porphyry,label,
42936,D0058,CRS01A-114.8,CRS01A,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,"Mineralized, silicified cordierite-serpentine-actinolite metasomatite",,,,,,Microscope rock name: Cor-Serp-Act Metasomatite,label,
42951,D0059,CRS01A-124.1,CRS01A,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,"Mineralized, silicified serpentine-actinolite-cordierite metasomatite",,,,,,Microscope rock name: Cor-Serp-Act Metasomatite,label,
43161,D0060,CRS01A-184.32,CRS01A,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,"Mineralized, silicified serpentine-chlorite-cordierite metasomatite",,,,,,Microscope rock name: Serp-Chl-Cord Metasomatite,label,
43166,D0061,CRS01A-187.8,CRS01A,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,"Mineralized, silicified cordierite-serpentine-chlorite metasomatite",,,,,,Microscope rock name: Cord-Serp-Chl Metasomatite,label,
43167,D0062,CRS01A-188.4,CRS01A,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,"Strongly brecciated, silicified, carbonate altered, mineralized chlorite-serpentine metasomatite",,,,,,Microscope rock name: Chl-Serp Metasomatite,label,
42513,D0063,OVD010-97.7,OVD010,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,"Strongly altered, gabbrodiorite porphyry (albite-chlorite-actinolite metasomatite after gabbrodiorite)",,"Relict, porphyry like, sub-ophitic","{""rock_forming"": ""Ab+Carb Pseudo aft Pl-55-60%, Chlorite Pseudo - 35-40%""}",Ser-Carb-Chl-Leuc-Qtz,Py-Cpy,Strong metasomatized diorite? Or gabbrodiorite? This is small dyke through pre-cambrian sediment | Microscope rock name: Alb-Chl-Act Metasom after Gabbrodiorite,label,
42539,D0064,OVD010-226.3,OVD010,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,Serpentine-carbonate-actinolite-chlorite metasomatite (after gabbro or ultramafic pluton),,"Granonematoblast, relict panidiomorphic","{""rock_forming"": ""Qtz+Carb+Serp Pseudo-55-60%, Chlorite Pseudo-35-40%""}",Qtz-Carb-Serp-Chl,Tnt-Py,Strong metasomatized gabbro? This is small dyke through pre-cambrian sediment | Microscope rock name: Serp-Carb-Act-Chl Metasom after Gabbro,label,
42553,D0065,OVD010-305.6,OVD010,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,Fine to medium grained amphibole gabbrodiorite,,"Sub-ophitic, prysmatic","{""rock_forming"": ""Alt Pl-65-70%, Hb-25-30%""}",Ser-Pelite-Chl-Qtz-Carb,Tnt-Py-Cpy,"The rock's major mineral is Plagioclase (???), Hb filled interstitial space between Pl crystals. | Microscope rock name: Diorite?",label,
42027,D0066,OVD011-101.5,OVD011,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,Altered qtz microdiorite,,"Relict, poikiloophitic","{""rock_forming"": ""Alt Pl-50-55%, Alt Hb-30-35%, Qtz-8-10%, Leuc-1-3%""}",Ser-Pelite-Soss-Act-Chl-Carb,Tnt-Py,Altered fg qtz-diorite | Microscope rock name: Qtz Micro-Diorite,label,
42030,D0067,OVD011-107.4,OVD011,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,"Mineralized, silicified, carbonate altered siltstone",,"Blastoaleuropelitic, microlepidoblast","{""rock_forming"": ""Clayey micaseous agregate-75-80%""}",Qtz-Carb-Ser-Chl,Po-Cpy,Metasomatized siltstone | Microscope rock name: Siltstone,label,
42031,D0068,OVD011-109.1,OVD011,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,"Weakly mineralized, chlorite-sericite phyllite after siltstone",,"Microlepidoblast, blastoaleurolitic, schistous, spotty","{""rock_forming"": ""Sericite-40-45%, Chlorite-45-50%""}",Ser-Chl-Carb,Illm-Py-Cpy,Metasomatized siltstone | Microscope rock name: Chl-Ser Phyllite,label,
42032,D0069,OVD011-109.6,OVD011,,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,not stated,,en,"Carbonate altered, fine grained, Ksp-qtz sandy meta-siltstone",,"Microlepidoblast, Schistous","{""rock_forming"": ""Qtz-15-20%, Fsp-5-10%, clayey-sericite-chlorite agregate-70-75%""}",Qtz-Carb,Tnt-Py,Chl-Ser Phyllite | Microscope rock name: Ksp-Qtz Meta-Siltstone,label,
